平均値とは？	データの合計 ÷ 個数
中央値とは？	データを並べたときの真ん中の値
最頻値とは？	最も多く出現する値
外れ値があるとき、平均と中央値どちらが適切？	中央値（外れ値に強い）
分散の計算式は？	Σ(x−平均)² ÷ n（偏差の2乗の平均）
標準偏差の計算式は？	√分散
変動係数の計算式は？	標準偏差 ÷ 平均
平均が違うデータ同士のばらつきを比較するには？	変動係数を使う
標準化（z値）の計算式は？	z = (x−平均) ÷ 標準偏差
偏差値の計算式は？	50 + 10 × z
偏差値60は平均から標準偏差何個分？	1個分（z=1）
偏差値50は何を意味する？	ちょうど平均
Q1（第1四分位数）とは？	下位25%の位置の値
Q3（第3四分位数）とは？	上位25%の位置の値
四分位範囲(IQR)の計算式は？	Q3 − Q1
箱ひげ図で外れ値と判定する基準は？	Q1−1.5×IQR未満、またはQ3+1.5×IQRより大
変化率の計算式は？	(今回−前回) ÷ 前回
100→110の変化率は？	10%
指数とは？	基準時点を100としたときの比率
偏差とは？	各データの値 − 平均値
偏差の合計は必ずいくつになる？	0
なぜ分散は偏差を2乗する？	偏差の合計は0になるため、2乗して正にする
標準偏差の利点は？	元のデータと同じ単位で解釈できる
z=2 は何を意味する？	平均より標準偏差2個分上
年収400万(SD80万)と600万(SD100万)、ばらつきが大きいのは？	400万の方（変動係数20% > 16.7%）
度数とは？	各値が出現する回数
相対度数とは？	度数 ÷ 全体（割合）
累積度数とは？	ある値以下の度数の合計
ヒストグラムと棒グラフの違いは？	ヒストグラムは連続データ、柱が隣接してくっつく
クロス集計表とは？	2つの変数の組み合わせごとに度数をまとめた表
2変数の関連を面積で可視化するグラフは？	モザイク図
時系列データとは？	時間順に並んだデータ
データ：2,4,6,8,10 の平均値は？	6
データ：2,4,6,8,10 の分散は？	8
データ：2,4,6,8,10 の標準偏差は？	√8 ≒ 2.83
平均50、SD10の試験で70点のz値は？	z = 2
平均50、SD10の試験で70点の偏差値は？	70
