Front	Back	Tags
α	"<div class='reading'>
<h2>アルファ</h2>
<p class='english'>alpha</p>
</div>"	greek-alphabet priority-S essential type-symbol-to-reading
"<div class='question'>
<h3>α の統計学での意味は?</h3>
</div>"	"<div class='answer'>
<h3 class='meaning'>第1種の過誤の確率、有意水準、回帰モデルの切片、クロンバックのアルファ</h3>

<div class='mnemonic'>
<strong>💡 記憶術:</strong>
<p>アルファ = 'アタック基準' - 研究で仮説を攻撃的に棄却する閾値(通常5%)</p>
</div>

<div class='context'>
<strong>📊 使用例:</strong>
<p>α=0.05 は「5%の危険率で帰無仮説を棄却する」ことを意味する</p>
</div>

<div class='info'>
<small>読み方: アルファ (alpha)</small>
</div>
</div>"	greek-alphabet priority-S essential type-meaning-with-mnemonic
"<div class='question'>
<h3>「アルファ」のギリシャ文字は?</h3>
</div>"	"<div class='answer'>
<h2 class='symbol'>α</h2>
<p class='note'>大文字: Α</p>
<p class='hint'>第1種の過誤の確率、有意水準、回帰モデルの切片、クロンバックのアルファ</p>
</div>"	greek-alphabet priority-S essential type-reading-to-symbol
β	"<div class='reading'>
<h2>ベータ</h2>
<p class='english'>beta</p>
</div>"	greek-alphabet priority-S essential type-symbol-to-reading
"<div class='question'>
<h3>β の統計学での意味は?</h3>
</div>"	"<div class='answer'>
<h3 class='meaning'>ベータ関数(大文字)、第2種の過誤の確率、偏回帰係数</h3>

<div class='mnemonic'>
<strong>💡 記憶術:</strong>
<p>ベータ = 'ベンリな係数' - 回帰分析で変数の影響力を示す / '2番目のエラー'</p>
</div>

<div class='context'>
<strong>📊 使用例:</strong>
<p>β₁ は説明変数が1単位増えたときの目的変数の変化量を表す</p>
</div>

<div class='info'>
<small>読み方: ベータ (beta)</small>
</div>
</div>"	greek-alphabet priority-S essential type-meaning-with-mnemonic
"<div class='question'>
<h3>「ベータ」のギリシャ文字は?</h3>
</div>"	"<div class='answer'>
<h2 class='symbol'>β</h2>
<p class='note'>大文字: Β</p>
<p class='hint'>ベータ関数(大文字)、第2種の過誤の確率、偏回帰係数</p>
</div>"	greek-alphabet priority-S essential type-reading-to-symbol
γ	"<div class='reading'>
<h2>ガンマ</h2>
<p class='english'>gamma</p>
</div>"	greek-alphabet priority-B type-symbol-to-reading
"<div class='question'>
<h3>γ の統計学での意味は?</h3>
</div>"	"<div class='answer'>
<h3 class='meaning'>ガンマ関数(大文字)、グッドマン=クラスカルのガンマ</h3>

<div class='mnemonic'>
<strong>💡 記憶術:</strong>
<p>ガンマ = 'がっちり関連' - 順序変数間の関連性を測る統計量</p>
</div>

<div class='context'>
<strong>📊 使用例:</strong>
<p>γは-1から1の値を取り、順序関係の一致度を示す</p>
</div>

<div class='info'>
<small>読み方: ガンマ (gamma)</small>
</div>
</div>"	greek-alphabet priority-B type-meaning-with-mnemonic
"<div class='question'>
<h3>「ガンマ」のギリシャ文字は?</h3>
</div>"	"<div class='answer'>
<h2 class='symbol'>γ</h2>
<p class='note'>大文字: Γ</p>
<p class='hint'>ガンマ関数(大文字)、グッドマン=クラスカルのガンマ</p>
</div>"	greek-alphabet priority-B type-reading-to-symbol
δ	"<div class='reading'>
<h2>デルタ</h2>
<p class='english'>delta</p>
</div>"	greek-alphabet priority-B type-symbol-to-reading
"<div class='question'>
<h3>δ の統計学での意味は?</h3>
</div>"	"<div class='answer'>
<h3 class='meaning'>変化量(大文字)、差、変化量</h3>

<div class='mnemonic'>
<strong>💡 記憶術:</strong>
<p>デルタ = 'デル(delete)前後の差' - Δx = 変化量、差分を表す記号</p>
</div>

<div class='context'>
<strong>📊 使用例:</strong>
<p>Δt は時間の変化量、δは微小な変化を表す</p>
</div>

<div class='info'>
<small>読み方: デルタ (delta)</small>
</div>
</div>"	greek-alphabet priority-B type-meaning-with-mnemonic
"<div class='question'>
<h3>「デルタ」のギリシャ文字は?</h3>
</div>"	"<div class='answer'>
<h2 class='symbol'>δ</h2>
<p class='note'>大文字: Δ</p>
<p class='hint'>変化量(大文字)、差、変化量</p>
</div>"	greek-alphabet priority-B type-reading-to-symbol
ε	"<div class='reading'>
<h2>イプシロン</h2>
<p class='english'>epsilon</p>
</div>"	greek-alphabet priority-B type-symbol-to-reading
"<div class='question'>
<h3>ε の統計学での意味は?</h3>
</div>"	"<div class='answer'>
<h3 class='meaning'>回帰モデルの誤差項</h3>

<div class='mnemonic'>
<strong>💡 記憶術:</strong>
<p>イプシロン = 'いっぱいエラー' - 予測値と実測値のズレ(残差)</p>
</div>

<div class='context'>
<strong>📊 使用例:</strong>
<p>y = β₀ + β₁x + ε のεは説明できない誤差成分</p>
</div>

<div class='info'>
<small>読み方: イプシロン (epsilon)</small>
</div>
</div>"	greek-alphabet priority-B type-meaning-with-mnemonic
"<div class='question'>
<h3>「イプシロン」のギリシャ文字は?</h3>
</div>"	"<div class='answer'>
<h2 class='symbol'>ε</h2>
<p class='note'>大文字: Ε</p>
<p class='hint'>回帰モデルの誤差項</p>
</div>"	greek-alphabet priority-B type-reading-to-symbol
